id,issn_l,issn,display_name,host_organization,host_organization_name,host_organization_lineage,relevance_score,works_count,cited_by_count,summary_stats,is_oa,is_in_doaj,is_high_oa_rate,is_high_oa_rate_since_year,is_in_doaj_since_year,is_in_scielo,is_ojs,oa_flip_year,oa_works_count,first_publication_year,last_publication_year,ids,homepage_url,apc_prices,apc_usd,country_code,societies,alternate_titles,type,counts_by_year,works_api_url,updated_date,created_date,topics,team
https://openalex.org/S23772524,1473-3099,,The Lancet Infectious Diseases,https://openalex.org/P4310320990,Elsevier BV,,89950.734,10733,640606,,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,3902,1897,2026,,https://www.journals.elsevier.com/the-lancet-infectious-diseases,,6300,NL,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S23772524,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S2531945440,2352-3018,,The Lancet HIV,https://openalex.org/P4310320990,Elsevier BV,,22354.842,1992,55289,,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,861,1979,2026,,https://www.journals.elsevier.com/the-lancet-hiv,,6300,NL,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S2531945440,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S19579164,0163-4453,,Journal of Infection,https://openalex.org/P4310320990,Elsevier BV,,30570.979,10710,266130,,TRUE,TRUE,FALSE,NA,2024,FALSE,FALSE,2023,2445,1979,2026,,https://www.sciencedirect.com/journal/journal-of-infection,,4000,GB,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S19579164,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S87161179,0195-6701,,Journal of Hospital Infection,https://openalex.org/P4310320990,Elsevier BV,,9744.172,11396,292005,,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1873,1980,2026,,https://www.journals.elsevier.com/journal-of-hospital-infection,,3540,GB,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S87161179,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S71414007,1198-743X,,Clinical Microbiology and Infection,https://openalex.org/P4310320990,Elsevier BV,,70077.58,10513,440635,,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,7437,1995,2026,,https://www.journals.elsevier.com/clinical-microbiology-and-infection,,3780,GB,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S71414007,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S2735126445,2328-8957,,Open Forum Infectious Diseases,https://openalex.org/P4310311648,Oxford University Press,,41179.72,31220,113209,,TRUE,TRUE,FALSE,NA,2014,FALSE,FALSE,2013,31184,1967,2026,,https://academic.oup.com/ofid,,3064,GB,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S2735126445,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S72350973,1058-4838,,Clinical Infectious Diseases,https://openalex.org/P4310311648,Oxford University Press,,145289.97,37191,2133290,,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,23507,1979,2026,,http://www.oxfordjournals.org/our_journals/cid/,,4320,US,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S72350973,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S87161179,0195-6701,,Journal of Hospital Infection,https://openalex.org/P4310320990,Elsevier BV,,46991.258,11396,292005,,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,1873,1980,2026,,https://www.journals.elsevier.com/journal-of-hospital-infection,,3540,GB,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S87161179,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S46544255,1935-2727,,PLoS neglected tropical diseases,https://openalex.org/P4310315706,Public Library of Science,,123461.86,13148,535538,,TRUE,TRUE,FALSE,NA,2007,FALSE,FALSE,2006,13104,1945,2026,,http://www.plosntds.org/,,2495,US,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S46544255,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
https://openalex.org/S53087977,0095-1137,,Journal of Clinical Microbiology,https://openalex.org/P4310320263,American Society for Microbiology,,99391.3,33368,1899836,,TRUE,TRUE,FALSE,NA,2025,FALSE,FALSE,2024,31686,1845,2026,,http://jcm.asm.org/,,NA,US,,,journal,,https://api.openalex.org/works?filter=primary_location.source.id:S53087977,2026-03-21T10:02:58,2016-06-24T00:00:00,,A
